name,position,team,owner,total_points,total_projected_points,avg_points,projected_avg_points,year,league_id,league_name
Alexander Mattison,RB,LV,Team Williams,122.7,0.0,7.67,0.0,2023,499904937,Sunday Funday
Jahan Dotson,WR,WSH,Team Williams,113.3,159.21,6.66,10.61,2023,499904937,Sunday Funday
Jaxon Smith-Njigba,WR,SEA,Team Williams,134.05,0.0,7.89,0.0,2023,499904937,Sunday Funday
David Njoku,TE,CLE,Team Williams,180.45,0.0,11.28,0.0,2023,499904937,Sunday Funday
Raheem Mostert,RB,MIA,Team Williams,259.7,0.0,17.31,0.0,2023,499904937,Sunday Funday
Justin Tucker,K,BAL,Team Williams,151.1,144.52,8.89,8.5,2023,499904937,Sunday Funday
Jayden Reed,WR,GB,Team Williams,199.95,0.0,12.5,0.0,2023,499904937,Sunday Funday
Kenneth Gainwell,RB,PHI,Team Williams,86.88,0.0,5.43,0.0,2023,499904937,Sunday Funday
Kenny Pickett,QB,PHI,Team Williams,97.45,0.0,8.12,0.0,2023,499904937,Sunday Funday
Matt Gay,K,IND,Team Williams,142.5,129.14,8.38,7.6,2023,499904937,Sunday Funday
Chiefs D/ST,D/ST,KC,Team Williams,232.84,0.0,13.7,0.0,2023,499904937,Sunday Funday
Justin Jefferson,WR,MIN,NBA 4Skiii,202.2,0.0,20.22,0.0,2023,244658114,Johnson's
Amon-Ra St. Brown,WR,DET,NBA 4Skiii,330.9,242.06,20.68,16.14,2023,244658114,Johnson's
Joe Mixon,RB,HOU,NBA 4Skiii,267.0,0.0,15.71,0.0,2023,244658114,Johnson's
Calvin Ridley,WR,TEN,NBA 4Skiii,229.9,0.0,13.52,0.0,2023,244658114,Johnson's
Breece Hall,RB,NYJ,NBA 4Skiii,290.5,0.0,17.09,0.0,2023,244658114,Johnson's
Terry McLaurin,WR,WSH,NBA 4Skiii,209.2,0.0,12.31,0.0,2023,244658114,Johnson's
James Cook,RB,BUF,NBA 4Skiii,232.7,0.0,13.69,0.0,2023,244658114,Johnson's
Dak Prescott,QB,DAL,NBA 4Skiii,342.84,0.0,20.17,0.0,2023,244658114,Johnson's
Evan Engram,TE,JAX,NBA 4Skiii,230.3,0.0,13.55,0.0,2023,244658114,Johnson's
Jets D/ST,D/ST,NYJ,NBA 4Skiii,159.0,0.0,9.35,0.0,2023,244658114,Johnson's
Jared Goff,QB,DET,NBA 4Skiii,289.1,0.0,17.01,0.0,2023,244658114,Johnson's
Tyler Boyd,WR,CIN,NBA 4Skiii,144.8,150.56,8.52,10.04,2023,244658114,Johnson's
Emari Demercado,RB,ARI,NBA 4Skiii,73.3,0.0,5.24,0.0,2023,244658114,Johnson's
Trey McBride,TE,ARI,NBA 4Skiii,181.5,70.57,10.68,4.7,2023,244658114,Johnson's
Rams D/ST,D/ST,LAR,NBA 4Skiii,75.0,0.0,4.41,0.0,2023,244658114,Johnson's
Cairo Santos,K,CHI,NBA 4Skiii,155.0,139.29,9.12,8.19,2023,244658114,Johnson's
Ja'Marr Chase,WR,CIN,Jarbo,262.72,0.0,16.42,0.0,2023,244658114,Johnson's
Jalen Hurts,QB,PHI,Jarbo,356.82,0.0,20.99,0.0,2023,244658114,Johnson's
Jahmyr Gibbs,RB,DET,Jarbo,242.1,0.0,16.14,0.0,2023,244658114,Johnson's
George Kittle,TE,SF,Jarbo,203.2,0.0,12.7,0.0,2023,244658114,Johnson's
Christian Watson,WR,GB,Jarbo,101.3,0.0,10.13,0.0,2023,244658114,Johnson's
Cowboys D/ST,D/ST,DAL,Jarbo,172.0,0.0,10.12,0.0,2023,244658114,Johnson's
Javonte Williams,RB,DEN,Jarbo,179.2,0.0,11.2,0.0,2023,244658114,Johnson's
Blake Grupe,K,NO,Jarbo,143.0,127.5,8.41,7.5,2023,244658114,Johnson's
Michael Thomas,WR,NO,Jarbo,89.8,163.67,8.98,12.59,2023,244658114,Johnson's
Odell Beckham Jr.,WR,None,Jarbo,107.5,151.74,7.68,11.67,2023,244658114,Johnson's
Raheem Mostert,RB,MIA,Jarbo,267.7,0.0,17.85,0.0,2023,244658114,Johnson's
K.J. Osborn,WR,NE,Jarbo,120.0,0.0,7.5,0.0,2023,244658114,Johnson's
Chigoziem Okonkwo,TE,TEN,Jarbo,113.4,0.0,6.67,0.0,2023,244658114,Johnson's
Jonnu Smith,TE,MIA,Jarbo,124.2,0.0,7.31,0.0,2023,244658114,Johnson's
Geno Smith,QB,SEA,Jarbo,227.26,0.0,15.15,0.0,2023,244658114,Johnson's
Rashid Shaheed,WR,NO,Jarbo,155.6,0.0,10.37,0.0,2023,244658114,Johnson's
Justin Watson,WR,KC,Jarbo,89.0,0.0,5.56,0.0,2023,244658114,Johnson's
Patrick Mahomes,QB,KC,Childhood menace ,280.22,0.0,17.51,0.0,2023,244658114,Johnson's
DeAndre Hopkins,WR,TEN,Childhood menace ,223.6,0.0,13.15,0.0,2023,244658114,Johnson's
Rachaad White,RB,TB,Childhood menace ,267.9,0.0,15.76,0.0,2023,244658114,Johnson's
49ers D/ST,D/ST,SF,Childhood menace ,136.0,0.0,8.0,0.0,2023,244658114,Johnson's
Tyler Lockett,WR,SEA,Childhood menace ,202.4,0.0,11.91,0.0,2023,244658114,Johnson's
Evan McPherson,K,CIN,Childhood menace ,135.0,0.0,7.94,0.0,2023,244658114,Johnson's
Christian Kirk,WR,JAX,Childhood menace ,150.26,0.0,12.52,0.0,2023,244658114,Johnson's
Skyy Moore,WR,KC,Childhood menace ,53.7,0.0,3.84,0.0,2023,244658114,Johnson's
JuJu Smith-Schuster,WR,NE,Childhood menace ,61.0,0.0,5.55,0.0,2023,244658114,Johnson's
Samaje Perine,RB,DEN,Childhood menace ,121.3,0.0,7.14,0.0,2023,244658114,Johnson's
Brock Purdy,QB,SF,Childhood menace ,295.6,0.0,18.48,0.0,2023,244658114,Johnson's
Jaylen Warren,RB,PIT,Childhood menace ,196.4,0.0,11.55,0.0,2023,244658114,Johnson's
Tyler Conklin,TE,NYJ,Childhood menace ,123.1,0.0,7.24,0.0,2023,244658114,Johnson's
Titans D/ST,D/ST,TEN,Childhood menace ,88.0,0.0,5.18,0.0,2023,244658114,Johnson's
Khalil Herbert,RB,CHI,Childhood menace ,112.5,0.0,9.38,0.0,2023,244658114,Johnson's
Taysom Hill,TE,NO,Childhood menace ,143.52,0.0,8.97,0.0,2023,244658114,Johnson's
Austin Ekeler,RB,WSH,Team Johnson iii,185.4,0.0,13.24,0.0,2023,244658114,Johnson's
Tony Pollard,RB,TEN,Team Johnson iii,222.6,0.0,13.09,0.0,2023,244658114,Johnson's
Garrett Wilson,WR,NYJ,Team Johnson iii,213.2,250.1,12.54,16.67,2023,244658114,Johnson's
DeVonta Smith,WR,PHI,Team Johnson iii,227.6,0.0,14.23,0.0,2023,244658114,Johnson's
Chris Godwin,WR,TB,Team Johnson iii,209.2,0.0,12.31,0.0,2023,244658114,Johnson's
Kenneth Walker III,RB,SEA,Team Johnson iii,199.4,0.0,13.29,0.0,2023,244658114,Johnson's
Deshaun Watson,QB,CLE,Team Johnson iii,86.8,0.0,14.47,0.0,2023,244658114,Johnson's
Pat Freiermuth,TE,PIT,Team Johnson iii,76.8,148.8,6.4,9.92,2023,244658114,Johnson's
Isiah Pacheco,RB,KC,Team Johnson iii,213.9,0.0,15.28,0.0,2023,244658114,Johnson's
Jahan Dotson,WR,WSH,Team Johnson iii,124.8,174.44,7.34,11.63,2023,244658114,Johnson's
Jaxon Smith-Njigba,WR,SEA,Team Johnson iii,149.8,0.0,8.81,0.0,2023,244658114,Johnson's
Jake Ferguson,TE,DAL,Team Johnson iii,177.1,0.0,10.42,0.0,2023,244658114,Johnson's
Michael Mayer,TE,LV,Team Johnson iii,71.4,0.0,5.1,0.0,2023,244658114,Johnson's
Baker Mayfield,QB,TB,Team Johnson iii,274.06,0.0,16.12,0.0,2023,244658114,Johnson's
Aidan O'Connell,QB,LV,Team Johnson iii,125.82,0.0,11.44,0.0,2023,244658114,Johnson's
Jake Moody,K,SF,Team Johnson iii,127.0,0.0,7.47,0.0,2023,244658114,Johnson's
Raiders D/ST,D/ST,LV,Team Johnson iii,135.0,0.0,7.94,0.0,2023,244658114,Johnson's
Tyreek Hill,WR,MIA,Team zeke,376.4,0.0,23.52,0.0,2023,244658114,Johnson's
Bijan Robinson,RB,ATL,Team zeke,246.3,0.0,14.49,0.0,2023,244658114,Johnson's
Justin Fields,QB,PIT,Team zeke,230.18,0.0,17.71,0.0,2023,244658114,Johnson's
Keenan Allen,WR,CHI,Team zeke,278.86,0.0,21.45,0.0,2023,244658114,Johnson's
Kyle Pitts,TE,ATL,Team zeke,137.3,0.0,8.08,0.0,2023,244658114,Johnson's
Alexander Mattison,RB,LV,Team zeke,133.2,0.0,8.32,0.0,2023,244658114,Johnson's
Jake Elliott,K,PHI,Team zeke,155.0,142.38,9.12,8.38,2023,244658114,Johnson's
Cole Kmet,TE,CHI,Team zeke,181.1,0.0,10.65,0.0,2023,244658114,Johnson's
Josh Downs,WR,IND,Team zeke,157.1,0.0,9.24,0.0,2023,244658114,Johnson's
Noah Brown,WR,HOU,Team zeke,101.6,0.0,10.16,0.0,2023,244658114,Johnson's
Devin Singletary,RB,NYG,Team zeke,167.34,0.0,9.84,0.0,2023,244658114,Johnson's
Dolphins D/ST,D/ST,MIA,Team zeke,139.0,0.0,8.18,0.0,2023,244658114,Johnson's
Jayden Reed,WR,GB,Team zeke,217.2,0.0,13.58,0.0,2023,244658114,Johnson's
Chargers D/ST,D/ST,LAC,Team zeke,86.0,0.0,5.06,0.0,2023,244658114,Johnson's
Saints D/ST,D/ST,NO,Team zeke,129.0,0.0,7.59,0.0,2023,244658114,Johnson's
Ty Chandler,RB,MIN,Team zeke,101.0,0.0,5.94,0.0,2023,244658114,Johnson's
Christian McCaffrey,RB,SF,A Real Killa,391.3,0.0,24.46,0.0,2023,244658114,Johnson's
Josh Jacobs,RB,GB,A Real Killa,181.1,0.0,13.93,0.0,2023,244658114,Johnson's
DK Metcalf,WR,SEA,A Real Killa,225.4,0.0,14.09,0.0,2023,244658114,Johnson's
Chris Olave,WR,NO,A Real Killa,231.3,220.98,14.46,14.73,2023,244658114,Johnson's
Jonathan Taylor,RB,IND,A Real Killa,156.4,0.0,15.64,0.0,2023,244658114,Johnson's
Gus Edwards,RB,LAC,A Real Killa,187.0,0.0,11.0,0.0,2023,244658114,Johnson's
Zack Moss,RB,CIN,A Real Killa,169.6,0.0,12.11,0.0,2023,244658114,Johnson's
De'Von Achane,RB,MIA,A Real Killa,190.7,0.0,17.34,0.0,2023,244658114,Johnson's
Joshua Palmer,WR,LAC,A Real Killa,106.7,0.0,9.7,0.0,2023,244658114,Johnson's
David Njoku,TE,CLE,A Real Killa,201.2,0.0,12.57,0.0,2023,244658114,Johnson's
Lions D/ST,D/ST,DET,A Real Killa,93.0,0.0,5.47,0.0,2023,244658114,Johnson's
Browns D/ST,D/ST,CLE,A Real Killa,166.0,0.0,9.76,0.0,2023,244658114,Johnson's
Kyler Murray,QB,ARI,A Real Killa,146.36,0.0,18.3,0.0,2023,244658114,Johnson's
Jake Browning,QB,CIN,A Real Killa,144.44,0.0,16.05,0.0,2023,244658114,Johnson's
Jameis Winston,QB,CLE,A Real Killa,11.96,0.0,1.71,0.0,2023,244658114,Johnson's
Wil Lutz,K,DEN,A Real Killa,125.0,126.03,7.35,7.41,2023,244658114,Johnson's
Lamar Jackson,QB,BAL,Abrahamâ€™s mom ,331.22,0.0,20.7,0.0,2023,244658114,Johnson's
Tee Higgins,WR,CIN,Abrahamâ€™s mom ,137.6,0.0,11.47,0.0,2023,244658114,Johnson's
Travis Etienne Jr.,RB,JAX,Abrahamâ€™s mom ,282.4,0.0,16.61,0.0,2023,244658114,Johnson's
Amari Cooper,WR,CLE,Abrahamâ€™s mom ,227.0,0.0,15.13,0.0,2023,244658114,Johnson's
Dallas Goedert,TE,PHI,Abrahamâ€™s mom ,136.3,0.0,9.74,0.0,2023,244658114,Johnson's
Marquise Brown,WR,KC,Abrahamâ€™s mom ,134.7,0.0,9.62,0.0,2023,244658114,Johnson's
Russell Wilson,QB,PIT,Abrahamâ€™s mom ,256.9,0.0,17.13,0.0,2023,244658114,Johnson's
Daniel Carlson,K,LV,Abrahamâ€™s mom ,117.0,140.55,6.88,8.27,2023,244658114,Johnson's
AJ Dillon,RB,GB,Abrahamâ€™s mom ,117.6,0.0,7.84,0.0,2023,244658114,Johnson's
Darnell Mooney,WR,ATL,Abrahamâ€™s mom ,78.9,0.0,5.26,0.0,2023,244658114,Johnson's
Dalton Kincaid,TE,BUF,Abrahamâ€™s mom ,150.3,0.0,9.39,0.0,2023,244658114,Johnson's
Kendrick Bourne,WR,NE,Abrahamâ€™s mom ,100.0,0.0,12.5,0.0,2023,244658114,Johnson's
Chiefs D/ST,D/ST,KC,Abrahamâ€™s mom ,140.0,0.0,8.24,0.0,2023,244658114,Johnson's
Jonathan Mingo,WR,CAR,Abrahamâ€™s mom ,84.8,0.0,5.65,0.0,2023,244658114,Johnson's
Packers D/ST,D/ST,GB,Abrahamâ€™s mom ,99.0,0.0,5.82,0.0,2023,244658114,Johnson's
Hunter Henry,TE,NE,Abrahamâ€™s mom ,119.9,0.0,8.56,0.0,2023,244658114,Johnson's
Matt Gay,K,IND,Abrahamâ€™s mom ,149.0,130.42,8.76,7.67,2023,244658114,Johnson's
Stefon Diggs,WR,BUF,Team Zee,273.8,0.0,16.11,0.0,2023,244658114,Johnson's
Jaylen Waddle,WR,MIA,Team Zee,198.6,0.0,14.19,0.0,2023,244658114,Johnson's
Nico Collins,WR,HOU,Team Zee,260.4,0.0,17.36,0.0,2023,244658114,Johnson's
Puka Nacua,WR,LAR,Team Zee,298.5,0.0,17.56,0.0,2023,244658114,Johnson's
Kyren Williams,RB,LAR,Team Zee,255.0,0.0,21.25,0.0,2023,244658114,Johnson's
C.J. Stroud,QB,HOU,Team Zee,276.02,0.0,18.4,0.0,2023,244658114,Johnson's
Logan Thomas,TE,WSH,Team Zee,126.8,96.89,7.93,6.92,2023,244658114,Johnson's
James Conner,RB,ARI,Team Zee,201.5,0.0,15.5,0.0,2023,244658114,Johnson's
Chuba Hubbard,RB,CAR,Team Zee,182.5,0.0,10.74,0.0,2023,244658114,Johnson's
Harrison Butker,K,KC,Team Zee,153.0,142.22,9.0,8.37,2023,244658114,Johnson's
Zach Charbonnet,RB,SEA,Team Zee,106.1,0.0,6.63,0.0,2023,244658114,Johnson's
Isaiah Likely,TE,BAL,Team Zee,101.1,59.81,5.95,3.99,2023,244658114,Johnson's
Nick Mullens,QB,MIN,Team Zee,66.74,0.0,13.35,0.0,2023,244658114,Johnson's
Tank Dell,WR,HOU,Team Zee,165.0,0.0,15.0,0.0,2023,244658114,Johnson's
Darren Waller,TE,NYG,Team Zee,113.2,0.0,9.43,0.0,2023,244658114,Johnson's
Joe Flacco,QB,IND,Team Zee,100.84,0.0,20.17,0.0,2023,244658114,Johnson's
Patriots D/ST,D/ST,NE,Team Zee,111.0,0.0,6.53,0.0,2023,244658114,Johnson's
Josh Allen,QB,BUF,DaBears,392.64,0.0,23.1,0.0,2023,244658114,Johnson's
Saquon Barkley,RB,PHI,DaBears,223.2,0.0,15.94,0.0,2023,244658114,Johnson's
DJ Moore,WR,CHI,DaBears,286.5,0.0,16.85,0.0,2023,244658114,Johnson's
Alvin Kamara,RB,NO,DaBears,233.0,0.0,17.92,0.0,2023,244658114,Johnson's
Bills D/ST,D/ST,BUF,DaBears,158.0,0.0,9.29,0.0,2023,244658114,Johnson's
Justin Tucker,K,BAL,DaBears,155.0,146.18,9.12,8.6,2023,244658114,Johnson's
Dalton Schultz,TE,HOU,DaBears,150.5,0.0,10.03,0.0,2023,244658114,Johnson's
George Pickens,WR,PIT,DaBears,208.8,0.0,12.28,0.0,2023,244658114,Johnson's
Zay Flowers,WR,BAL,DaBears,206.4,0.0,12.9,0.0,2023,244658114,Johnson's
Matthew Stafford,QB,LAR,DaBears,243.1,0.0,16.21,0.0,2023,244658114,Johnson's
Tyler Bass,K,BUF,DaBears,128.0,138.81,7.53,8.17,2023,244658114,Johnson's
Jerome Ford,RB,CLE,DaBears,211.2,0.0,12.42,0.0,2023,244658114,Johnson's
Ravens D/ST,D/ST,BAL,DaBears,172.0,0.0,10.12,0.0,2023,244658114,Johnson's
Jerry Jeudy,WR,CLE,DaBears,141.8,0.0,8.86,0.0,2023,244658114,Johnson's
Brandin Cooks,WR,DAL,DaBears,173.2,0.0,10.82,0.0,2023,244658114,Johnson's
Cade Otton,TE,TB,DaBears,116.5,0.0,6.85,0.0,2023,244658114,Johnson's
Davante Adams,WR,LV,Jonny Football,265.4,0.0,15.61,0.0,2023,244658114,Johnson's
A.J. Brown,WR,PHI,Jonny Football,289.6,0.0,17.04,0.0,2023,244658114,Johnson's
Rhamondre Stevenson,RB,NE,Jonny Football,145.7,0.0,12.14,0.0,2023,244658114,Johnson's
Aaron Jones,RB,MIN,Jonny Football,134.9,0.0,12.26,0.0,2023,244658114,Johnson's
Trevor Lawrence,QB,JAX,Jonny Football,262.54,0.0,16.41,0.0,2023,244658114,Johnson's
Brandon Aiyuk,WR,SF,Jonny Football,249.2,0.0,15.58,0.0,2023,244658114,Johnson's
David Montgomery,RB,DET,Jonny Football,207.2,0.0,14.8,0.0,2023,244658114,Johnson's
Michael Pittman Jr.,WR,IND,Jonny Football,250.2,0.0,15.64,0.0,2023,244658114,Johnson's
Gabe Davis,WR,JAX,Jonny Football,161.4,0.0,9.49,0.0,2023,244658114,Johnson's
Sam Howell,QB,SEA,Jonny Football,257.54,0.0,15.15,0.0,2023,244658114,Johnson's
Kareem Hunt,RB,CLE,Jonny Football,118.5,0.0,7.9,0.0,2023,244658114,Johnson's
Curtis Samuel,WR,BUF,Jonny Football,157.2,0.0,9.83,0.0,2023,244658114,Johnson's
Brandon Aubrey,K,DAL,Jonny Football,180.0,131.9,10.59,7.76,2023,244658114,Johnson's
Gardner Minshew,QB,LV,Jonny Football,196.2,0.0,11.54,0.0,2023,244658114,Johnson's
Bears D/ST,D/ST,CHI,Jonny Football,110.0,0.0,6.47,0.0,2023,244658114,Johnson's
Juwan Johnson,TE,NO,Jonny Football,97.8,0.0,7.52,0.0,2023,244658114,Johnson's
Travis Kelce,TE,KC,Blk Mania,219.4,0.0,14.63,0.0,2023,244658114,Johnson's
CeeDee Lamb,WR,DAL,Blk Mania,403.2,0.0,23.72,0.0,2023,244658114,Johnson's
Joe Burrow,QB,CIN,Blk Mania,147.16,0.0,14.72,0.0,2023,244658114,Johnson's
Najee Harris,RB,PIT,Blk Mania,195.5,0.0,11.5,0.0,2023,244658114,Johnson's
Steelers D/ST,D/ST,PIT,Blk Mania,127.0,0.0,7.47,0.0,2023,244658114,Johnson's
Jordan Addison,WR,MIN,Blk Mania,221.3,0.0,13.02,0.0,2023,244658114,Johnson's
Antonio Gibson,RB,NE,Blk Mania,127.4,0.0,7.96,0.0,2023,244658114,Johnson's
Eagles D/ST,D/ST,PHI,Blk Mania,80.0,0.0,4.71,0.0,2023,244658114,Johnson's
Rashee Rice,WR,KC,Blk Mania,212.5,0.0,13.28,0.0,2023,244658114,Johnson's
Jordan Love,QB,GB,Blk Mania,319.06,0.0,18.77,0.0,2023,244658114,Johnson's
Riley Patterson,K,JAX,Blk Mania,91.0,0.0,6.07,0.0,2023,244658114,Johnson's
Ezekiel Elliott,RB,NE,Blk Mania,174.5,127.95,10.26,9.14,2023,244658114,Johnson's
Deebo Samuel,WR,SF,Blk Mania,243.7,0.0,16.25,0.0,2023,244658114,Johnson's
Royce Freeman,RB,LAR,Blk Mania,46.2,0.0,3.3,0.0,2023,244658114,Johnson's
Tua Tagovailoa,QB,MIA,Blk Mania,270.36,0.0,15.9,0.0,2023,244658114,Johnson's
Nick Folk,K,TEN,Blk Mania,130.0,133.89,7.65,7.88,2023,244658114,Johnson's
Tucker Kraft,TE,GB,Blk Mania,78.5,46.08,4.62,3.07,2023,244658114,Johnson's
Derrick Henry,RB,BAL,Raiders Nation,246.66,0.0,14.51,0.0,2023,244658114,Johnson's
Cooper Kupp,WR,LAR,Raiders Nation,164.4,0.0,13.7,0.0,2023,244658114,Johnson's
Justin Herbert,QB,LAC,Raiders Nation,234.16,0.0,18.01,0.0,2023,244658114,Johnson's
Mark Andrews,TE,BAL,Raiders Nation,135.4,0.0,13.54,0.0,2023,244658114,Johnson's
Miles Sanders,RB,CAR,Raiders Nation,87.6,0.0,5.48,0.0,2023,244658114,Johnson's
Mike Evans,WR,TB,Raiders Nation,282.5,0.0,16.62,0.0,2023,244658114,Johnson's
Jakobi Meyers,WR,LV,Raiders Nation,218.58,0.0,13.66,0.0,2023,244658114,Johnson's
Drake London,WR,ATL,Raiders Nation,174.38,0.0,10.9,0.0,2023,244658114,Johnson's
Courtland Sutton,WR,DEN,Raiders Nation,190.2,0.0,11.89,0.0,2023,244658114,Johnson's
D'Andre Swift,RB,CHI,Raiders Nation,199.3,0.0,12.46,0.0,2023,244658114,Johnson's
Brian Robinson Jr.,RB,WSH,Raiders Nation,198.1,0.0,13.21,0.0,2023,244658114,Johnson's
Elijah Moore,WR,CLE,Raiders Nation,132.1,141.71,7.77,9.45,2023,244658114,Johnson's
Adam Thielen,WR,CAR,Raiders Nation,231.0,0.0,13.59,0.0,2023,244658114,Johnson's
Eddy Pineiro,K,CAR,Raiders Nation,105.0,127.62,7.0,7.51,2023,244658114,Johnson's
Commanders D/ST,D/ST,WSH,Raiders Nation,30.0,0.0,1.76,0.0,2023,244658114,Johnson's
Sam LaPorta,TE,DET,Raiders Nation,239.3,0.0,14.08,0.0,2023,244658114,Johnson's
