name,wins,losses,league_id,league_name
Olave Garden,7,7,499904937,Sunday Funday
Mixon Match,10,4,499904937,Sunday Funday
Hop on my Chubb,9,5,499904937,Sunday Funday
Estebandz,7,7,499904937,Sunday Funday
Mo' Mooney Mo' Problems,7,7,499904937,Sunday Funday
C Deez ðŸ¥œ,7,7,499904937,Sunday Funday
Bonchon Robinson,3,11,499904937,Sunday Funday
All TUA Easy ,4,10,499904937,Sunday Funday
Dawg Pound,8,6,499904937,Sunday Funday
Team JB,8,6,499904937,Sunday Funday
Fourth and Drunk,4,10,499904937,Sunday Funday
Team Williams,10,4,499904937,Sunday Funday
NBA 4Skiii,9,5,244658114,Johnson's
Jarbo,4,10,244658114,Johnson's
Childhood menace ,7,7,244658114,Johnson's
Team Johnson iii,7,7,244658114,Johnson's
Team zeke,9,5,244658114,Johnson's
A Real Killa,7,7,244658114,Johnson's
Abrahamâ€™s mom ,3,11,244658114,Johnson's
Team Zee,5,9,244658114,Johnson's
DaBears,8,6,244658114,Johnson's
Jonny Football,11,3,244658114,Johnson's
Blk Mania,9,5,244658114,Johnson's
Raiders Nation,5,9,244658114,Johnson's
